pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
7291033,Cinema Sweater,cinema-sweater,,False,,,,null,,,,,,,,,,,,,,,
1007884,Sweater No. 2,sweater-no-2-2,,False,,,,null,,,,,,,,,,,,,,,
1329876,Sweater No. 15,sweater-no-15-2,,False,,,,null,,,,,,,,,,,,,,,
7312520,Sweater Weather Pullover,sweater-weather-pullover,,False,,,,null,,,,,,,,,,,,,,,
7295497,Sweater Ornaments,sweater-ornaments-5,,False,,,,null,,,,,,,,,,,,,,,
7407945,Harriet Sweater,harriet-sweater,,False,,,,null,,,,,,,,,,,,,,,
7414153,Sweater : Wonderlights,sweater--wonderlights,,False,,,,null,,,,,,,,,,,,,,,
7396750,Sweater : Winter Storm,sweater--winter-storm,,False,,,,null,,,,,,,,,,,,,,,
7404646,Sweater Scarf : Twilight,sweater-scarf--twilight,,False,,,,null,,,,,,,,,,,,,,,
7379856,Sweater Wrap Scarf,sweater-wrap-scarf-2,,True,,,,null,,,,,,,,,,,,,,,
719901,Sweater Blank,sweater-blank,,False,,,,null,,,,,,,,,,,,,,,
1063621,Sweater No. 10,sweater-no-10,,False,,,,null,,,,,,,,,,,,,,,
1181372,Sweater 10299,sweater-10299,,False,,,,null,,,,,,,,,,,,,,,
1277628,Sweater,sweater-257,,True,,,,null,,,,,,,,,,,,,,,
7309717,Sweater KALANI,sweater-kalani,,False,,,,null,,,,,,,,,,,,,,,
7365554,Sweater No40,sweater-no40,,False,,,,null,,,,,,,,,,,,,,,
881730,Sweater Weather Cardi,sweater-weather-cardi,,True,,,,null,,,,,,,,,,,,,,,
1286816,Zipper Sweater Light,zipper-sweater-light,,False,,,,null,,,,,,,,,,,,,,,
983150,Sweater with Letter,sweater-with-letter-2,,False,,,,null,,,,,,,,,,,,,,,
7477355,Sweater for men,sweater-for-men-3,,False,,,,null,,,,,,,,,,,,,,,
7495940,Sweater for women the square,sweater-for-women-the-square,,False,,,,null,,,,,,,,,,,,,,,
7490031,Sweater Wrap Scarf,sweater-wrap-scarf-3,,False,,,,null,,,,,,,,,,,,,,,
248939,Sweater with Trumpet Sleeves,sweater-with-trumpet-sleeves,,False,,,,null,,,,,,,,,,,,,,,
856129,Sweater G0199,sweater-g0199,,False,,,,null,,,,,,,,,,,,,,,
1041227,Sweater Geometric,sweater-geometric,,False,,,,null,,,,,,,,,,,,,,,
7390802,Sweater med krave,sweater-med-krave,,False,,,,null,,,,,,,,,,,,,,,
7410402,"Sweater ""Twist""",sweater-twist,,False,,,,null,,,,,,,,,,,,,,,
7449231,Sweater with granny squares,sweater-with-granny-squares-3,,False,,,,null,,,,,,,,,,,,,,,
7421068,Sweater La Polcura,sweater-la-polcura,,False,,,,null,,,,,,,,,,,,,,,
7456358,Sweater Preppy & Lace Preppy,sweater-preppy--lace-preppy,,False,,,,null,,,,,,,,,,,,,,,
7422741,sweater red,sweater-red,,False,,,,null,,,,,,,,,,,,,,,
7435418,Sweater Curamalal,sweater-curamalal,,False,,,,null,,,,,,,,,,,,,,,
7465769,Sweater Sandström,sweater-sandstrom,,False,,,,null,,,,,,,,,,,,,,,
7467869,Sweater no 1 for women,sweater-no-1-for-women,,False,,,,null,,,,,,,,,,,,,,,
7490260,"Sweater ""Miraggio""",sweater-miraggio,,False,,,,null,,,,,,,,,,,,,,,
138318,Sweater LM0111,sweater-lm0111,,True,,,,null,,,,,,,,,,,,,,,
119643,Sweater Wheel,sweater-wheel,,False,,,,null,,,,,,,,,,,,,,,
160159,Sweater Shawl,sweater-shawl-4,,False,,,,null,,,,,,,,,,,,,,,
18401,Sweater Wizard,sweater-wizard,,False,,,,null,,,,,,,,,,,,,,,
68220,Sweater with Circular Ribbed Yoke,sweater-with-circular-ribbed-yoke,,False,,,,null,,,,,,,,,,,,,,,
1342077,Sweater Nativo,sweater-nativo,,False,,,,null,,,,,,,,,,,,,,,
34574,Sweater #LM0125,sweater-lm0125,,True,,,,null,,,,,,,,,,,,,,,
136991,Sweater with Stripes,sweater-with-stripes,,True,,,,null,,,,,,,,,,,,,,,
131603,Sweater Vest #60343AD,sweater-vest-60343ad,,True,,,,null,,,,,,,,,,,,,,,
153466,Sweater LM0112,sweater-lm0112,,True,,,,null,,,,,,,,,,,,,,,
252055,Sweater Girl,sweater-girl-2,,True,,,,null,,,,,,,,,,,,,,,
201149,Sweater with Large Shawl Collar,sweater-with-large-shawl-collar,,False,,,,null,,,,,,,,,,,,,,,
384329,Sweater with collar and cable trim,sweater-with-collar-and-cable-trim,,True,,,,null,,,,,,,,,,,,,,,
